stopId,stopName,lat,lng
3311,Trường Trung học cơ sở Lê Minh Xuân,10.7660083770752,106.560760498047
4766,Ngã tư Cây Da Sà,10.755665,106.626563
3313,Coop Mart Vĩnh Lộc B,10.764925,106.563097
3455,Da Sà Cũ,10.7564334869385,106.623458862305
3312,Võ Văn Vân,10.763033,106.567174
3457,Chùa Mai Sơn,10.7571716308594,106.621559143066
3446,Cầu Tân Tạo,10.76113,106.571632
3453,Da sà cũ,10.757757,106.615464
3445,Giai Hồng Phát,10.759614,106.575447
3448,Phòng khám Đa khoa Thành An,10.758846,106.578438
3459,Kim Thành,10.7577266693115,106.616050720215
3447,Mầm non Vy Vy,10.758222,106.580635
3460,Trung tâm dạy nghề (cũ),10.7582235336304,106.613021850586
3461,Chợ Bình Trị Đông,10.7581605911255,106.607696533203
3450,Cầu vượt Tân Tạo - Chợ Đệm,10.7571706771851,106.584892272949
3449,Chợ Bà Hom,10.7566394805908,106.589691162109
3466,Y tế - Nguyễn Cửu Phú,10.7572603225708,106.585021972656
3452,Nhà thờ tin lành,10.757768,106.609671
3463,Mầm non Vy Vy,10.7581043243408,106.581489562988
3451,Bông Sen,10.758195,106.612991
3454,Cấp nước Bình Trị Đông,10.757401,106.618225
3464,Phòng Khám đa khoa Thành An,10.7588348388672,106.578559875488
4767,Ngã tư Cây Da Sà,10.755665,106.626
3465,Chợ Bà Hom,10.759585,106.57563
4769,Chợ Phú Lâm,10.754611,106.631439
3468,Công ty XNK Tam Phát,10.761275,106.57151
3289,Võ Văn Vân,10.763138,106.567447
3288,Coop mart Vĩnh Lộc B,10.765099,106.563247
3290,Trường Trung học cơ sở Lê Minh Xuân,10.767576,106.557931
3467,Mầm non Hoa Thiên Tuế,10.769383,106.554379
3470,Trường tiểu học Phạm Văn Hai,10.77138,106.550399
3469,Bệnh viện Tâm thần Bình Minh,10.773425,106.546504
3472,Ủy ban xã Phạm Văn Hai,10.775127,106.543055
3471,Ủy ban xã Lê Minh Xuân,10.777636,106.53805
3474,Kênh A,10.780049,106.533217
3473,Hoàng My,10.7823,106.528759
3476,Thịnh Thành,10.784992,106.523336
3475,Trường Tiểu học Cầu Xáng,10.787654,106.518009
7211,Bến xe Long An,10.537597,106.404809
7212,Bến xe Gò Công,10.359629,106.661925
2890,Ngã Tư Đinh Bộ Lĩnh,10.813647,106.709282
2893,Nhà Sách Miền Đông,10.815824,106.707346
2895,Ngã Tư Nơ Trang Long,10.818669,106.704739
7600,Cầu Rạch Lăng,10.816319,106.700592
7599,Học Viện Cán Bộ Thành Phố,10.812536,106.701086
7291,Lũy bán Bích,10.787,106.637753
7294,Thiên Hòa,10.786879,106.640446
4338,Ngã tư Nguyễn Hồng Đào,10.792915,106.640968
3163,Phương Nam,10.791997,106.643219
1825,Trường Trần Quốc Toản,10.792459,106.644325
1824,Đường Đồng Đen,10.794153,106.644974
1828,Hội chữ thập đỏ Tân Bình,10.796401,106.645736
7577,Công An Phú Nhuận,10.799721,106.67436
1723,Hội Chữ thập đỏ Tân Bình,10.796322,106.645591
1724,Trường Trần Quốc Toản,10.792597,106.644241
3159,Phương Nam,10.792167,106.643333
4337,Ngã tư Nguyễn Hồng Đào,10.793079,106.641102
7293,Thiên Hòa,10.787021,106.640757
7292,Lũy bán Bích,10.787079,106.638107
2899,Ngã Tư Nơ Trang Long,10.81859,106.704685
2900,Nhà Sách Miền Đông,10.815681,106.707298
2905,Ngã Tư Đinh Bộ Lĩnh,10.813679,106.709127
3478,Võ Văn Tần,10.774068,106.688946
3477,Công trường Dân Chủ,10.77753,106.682455
7304,Đại học tài chính Maketing,10.75146,106.720515
3166,Bệnh viện Nguyễn Tri Phương,10.754638,106.670149
3528,Sân bóng đá mini Phú MỸ,10.737728,106.728386
3519,Trần Phú,10.755212,106.673014
3521,Bệnh viện Nguyễn Trãi,10.755839,106.675084
3530,Bệnh viện Quận 7,10.738041,106.723455
3523,Trường TH Bầu Sen,10.757573,106.679199
3524,Đại học Sài Gòn,10.7585010528564,106.68155670166
1242,Mỹ Giang 2,10.721586,106.716857
7070,Hà Huy Tập,10.726857,106.708537
3529,Trường TH Bầu Sen,10.757842,106.67951
3526,Mỹ Giang 2,10.72137,106.716809
3532,Bệnh viện Nguyễn Trãi,10.756071,106.675299
3531,Trần Phú,10.755402,106.673266
3525,Bệnh viện Quận 7,10.737809,106.723691
3535,Bệnh viện Nguyễn Tri Phương,10.754811,106.670364
3527,Huỳnh Tấn Phát,10.737467,106.728712
1999,Khu chế xuất Tân Thuận,10.752883,106.727501
3522,Bến xe buýt Bến Súc,11.154887,106.455696
3536,Ngã 3 Đền Bến Dược,11.149482,106.460727
3485,Ngã tư Tân Quy,10.984835,106.576105
3533,Ngã 3 tỉnh lộ 6,11.142477,106.469879
3489,"Chùa Pháp Bửu, cây xăng 63",10.988501,106.574593
3534,Cầu Thai Thai,11.138829,106.473699
3491,Công ty Carimax Sài Gòn,10.991192,106.573455
3487,Láng The,10.99512,106.571803
3538,Ngã 3 xã Phú Mỹ Hưng,11.130334,106.479959
